thisRow.t,notes,block_sign,block_pressure,rt,chose_delayed,comp_m,max_deviation,raw_trajectory,participant,age,gender,
,,gain,high_pressure,-1,timeout,,,,941765,21,F,
,,gain,high_pressure,1.5505161999899428,True,50,0.11969351887858619,"0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.017,-0.394;0.004,-0.362;-0.008,-0.323;-0.029,-0.256;-0.043,-0.210;-0.061,-0.152;-0.076,-0.116;-0.099,-0.063;-0.109,-0.024;-0.119,0.015;-0.127,0.053;-0.130,0.067;-0.134,0.076;-0.139,0.083;-0.141,0.087;-0.146,0.091;-0.153,0.099;-0.157,0.103;-0.167,0.109;-0.182,0.116;-0.210,0.128;-0.232,0.137;-0.258,0.148;-0.278,0.157;-0.307,0.170;-0.323,0.181;-0.343,0.197;-0.349,0.206;-0.352,0.213;-0.352,0.213;-0.351,0.214;-0.350,0.214;-0.348,0.214;-0.347,0.214;-0.347,0.213;-0.346,0.213;-0.344,0.213;-0.342,0.213;-0.340,0.215;-0.339,0.216;-0.338,0.217;-0.338,0.217;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218;-0.337,0.218",941765,21,F,
,,gain,high_pressure,1.5825508999987505,True,75,0.0884781106736354,"0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.354;0.007,-0.343;0.017,-0.252;0.046,-0.164;0.091,-0.062;0.184,0.093;0.249,0.187;0.327,0.277;0.354,0.309;0.371,0.323;0.382,0.332;0.383,0.332;0.383,0.332;0.384,0.332;0.384,0.332;0.384,0.331;0.384,0.331;0.384,0.330;0.384,0.330;0.384,0.330;0.384,0.330;0.384,0.330;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329;0.384,0.329",941765,21,F,
,,gain,high_pressure,1.164572900015628,False,99,0.07207796243350671,"-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.034,-0.392;-0.033,-0.382;-0.023,-0.322;0.003,-0.262;0.041,-0.183;0.121,-0.057;0.182,0.025;0.257,0.123;0.294,0.168;0.322,0.203;0.345,0.226;0.352,0.231;0.356,0.233;0.357,0.233;0.358,0.233;0.358,0.233;0.358,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233;0.359,0.233",941765,21,F,
,,gain,high_pressure,1.265602100000251,False,86.5,0.07841751553473292,"-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.019,-0.390;-0.020,-0.386;-0.023,-0.354;-0.022,-0.329;-0.011,-0.288;0.024,-0.203;0.061,-0.135;0.100,-0.067;0.155,0.027;0.189,0.082;0.229,0.137;0.249,0.164;0.264,0.178;0.279,0.191;0.286,0.197;0.293,0.203;0.296,0.206;0.297,0.207;0.298,0.207;0.299,0.208;0.299,0.208;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209;0.299,0.209",941765,21,F,
,,gain,high_pressure,1.3665586999850348,True,74.0,0.058709774372225396,"-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.409;-0.005,-0.398;-0.005,-0.382;0.003,-0.346;0.015,-0.309;0.040,-0.263;0.080,-0.184;0.114,-0.131;0.145,-0.083;0.189,-0.021;0.209,0.002;0.231,0.032;0.238,0.043;0.249,0.053;0.253,0.058;0.254,0.061;0.257,0.063;0.257,0.064;0.258,0.067;0.261,0.073;0.262,0.081;0.264,0.096;0.265,0.108;0.266,0.124;0.272,0.153;0.273,0.161;0.282,0.189;0.287,0.201;0.292,0.213;0.297,0.232;0.298,0.239;0.298,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240;0.300,0.240",941765,21,F,
,,gain,high_pressure,1.2314597000076901,False,80.25,0.051474414854521464,"-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.020,-0.391;-0.042,-0.383;-0.056,-0.373;-0.072,-0.358;-0.104,-0.321;-0.129,-0.277;-0.158,-0.227;-0.196,-0.138;-0.216,-0.074;-0.242,0.031;-0.254,0.087;-0.264,0.133;-0.276,0.168;-0.281,0.180;-0.286,0.188;-0.287,0.188;-0.287,0.189;-0.287,0.189;-0.288,0.189;-0.288,0.189;-0.289,0.189;-0.289,0.189;-0.289,0.191;-0.290,0.193;-0.293,0.196;-0.297,0.205;-0.302,0.211;-0.305,0.218;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222;-0.308,0.222",941765,21,F,
,,gain,high_pressure,1.3481916000018828,False,77.125,0.1134228739632429,"-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.382;-0.013,-0.368;-0.010,-0.332;-0.006,-0.307;0.000,-0.273;0.019,-0.206;0.040,-0.150;0.064,-0.086;0.104,0.001;0.128,0.052;0.171,0.118;0.197,0.158;0.234,0.194;0.257,0.214;0.273,0.227;0.289,0.237;0.294,0.240;0.302,0.243;0.310,0.243;0.314,0.243;0.317,0.243;0.318,0.243;0.318,0.243;0.318,0.243;0.322,0.244;0.325,0.244;0.329,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246;0.330,0.246",941765,21,F,
,,gain,high_pressure,1.4149378000001889,False,74.0,0.3165642059460132,"0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.007,-0.394;0.003,-0.376;-0.007,-0.347;-0.023,-0.295;-0.036,-0.257;-0.055,-0.211;-0.071,-0.171;-0.081,-0.149;-0.092,-0.113;-0.097,-0.084;-0.104,-0.047;-0.108,-0.023;-0.112,-0.007;-0.116,0.013;-0.116,0.025;-0.114,0.038;-0.097,0.057;-0.069,0.078;0.016,0.123;0.086,0.146;0.171,0.172;0.288,0.193;0.341,0.196;0.386,0.198;0.403,0.198;0.414,0.198;0.423,0.200;0.427,0.202;0.429,0.204;0.431,0.206;0.432,0.207;0.434,0.210;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211;0.434,0.211",941765,21,F,
,,gain,high_pressure,1.8808165999944322,False,70.875,0.23607944483479346,"0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;0.011,-0.368;-0.001,-0.352;-0.017,-0.319;-0.031,-0.293;-0.042,-0.267;-0.053,-0.241;-0.069,-0.189;-0.077,-0.146;-0.078,-0.118;-0.077,-0.091;-0.068,-0.052;-0.059,-0.027;-0.034,0.011;-0.013,0.036;0.016,0.059;0.067,0.099;0.107,0.121;0.158,0.141;0.189,0.150;0.207,0.154;0.222,0.158;0.224,0.159;0.225,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.226,0.159;0.230,0.168;0.248,0.194;0.255,0.204;0.259,0.208;0.263,0.211;0.267,0.212;0.274,0.213;0.279,0.214;0.285,0.217;0.293,0.221;0.295,0.224;0.299,0.228;0.302,0.229;0.303,0.231;0.306,0.232;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233;0.306,0.233",941765,21,F,
