thisRow.t,notes,block_sign,block_pressure,comp_m,rt,chose_delayed,max_deviation,raw_trajectory,choice_side,participant,age,gender,
,,loss,no_pressure,50,3.540512100000342,True,0.6051861425165129,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.022,-0.357;-0.061,-0.273;-0.100,-0.209;-0.131,-0.163;-0.216,-0.036;-0.270,0.062;-0.297,0.144;-0.299,0.164;-0.312,0.247;-0.307,0.274;-0.281,0.327;-0.274,0.340;-0.250,0.378;-0.247,0.382;-0.217,0.422;-0.203,0.435;-0.177,0.457;-0.168,0.464;-0.162,0.468;-0.159,0.468;-0.143,0.451;-0.112,0.400;-0.106,0.391;-0.089,0.344;-0.086,0.320;-0.086,0.302;-0.086,0.302;-0.088,0.299;-0.095,0.295;-0.130,0.280;-0.147,0.278;-0.162,0.278;-0.197,0.275;-0.240,0.275;-0.255,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.259,0.275;-0.192,0.259;-0.192,0.259;-0.135,0.246;0.070,0.213;0.070,0.213;0.265,0.195;0.332,0.195;0.343,0.195;0.373,0.195;0.379,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.382,0.195;0.374,0.210;0.371,0.214;0.359,0.227;0.359,0.227;0.354,0.229;0.351,0.230;0.343,0.232;0.338,0.232;0.338,0.232;0.137,0.233;0.069,0.242;-0.198,0.253;-0.217,0.253;-0.289,0.256;-0.289,0.256;-0.296,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.299,0.256;-0.171,0.257;-0.151,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;-0.147,0.255;0.020,0.304;0.020,0.304;0.122,0.317;0.153,0.320;0.153,0.320;0.153,0.320;0.153,0.320;0.165,0.319;0.168,0.318;0.179,0.309;0.179,0.309;0.199,0.292;0.205,0.281;0.216,0.267;0.217,0.266;0.218,0.265;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260;0.223,0.260",right,04,23,M,
,,loss,no_pressure,25,3.630999499999689,False,0.5764514290033462,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.010,-0.400;-0.028,-0.393;-0.033,-0.388;-0.071,-0.362;-0.087,-0.349;-0.089,-0.344;-0.127,-0.284;-0.145,-0.251;-0.163,-0.192;-0.186,-0.107;-0.188,-0.102;-0.198,-0.062;-0.198,-0.062;-0.203,-0.052;-0.203,-0.052;-0.213,-0.029;-0.219,-0.021;-0.223,-0.015;-0.223,-0.013;-0.226,-0.004;-0.229,0.001;-0.234,0.010;-0.234,0.010;-0.242,0.026;-0.254,0.044;-0.254,0.047;-0.260,0.072;-0.260,0.072;-0.260,0.119;-0.260,0.123;-0.260,0.135;-0.260,0.147;-0.260,0.158;-0.262,0.167;-0.262,0.179;-0.259,0.192;-0.258,0.205;-0.255,0.214;-0.254,0.220;-0.253,0.223;-0.253,0.226;-0.249,0.233;-0.249,0.233;-0.244,0.240;-0.243,0.241;-0.243,0.241;-0.241,0.243;-0.241,0.243;-0.238,0.243;-0.226,0.247;-0.194,0.255;-0.130,0.269;-0.079,0.269;-0.041,0.269;-0.033,0.269;-0.033,0.269;-0.033,0.269;-0.033,0.269;-0.033,0.269;-0.033,0.269;-0.029,0.269;0.001,0.267;0.023,0.262;0.077,0.260;0.131,0.260;0.176,0.260;0.205,0.260;0.225,0.260;0.225,0.260;0.246,0.260;0.254,0.260;0.257,0.260;0.266,0.260;0.274,0.260;0.277,0.260;0.282,0.260;0.282,0.260;0.282,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.284,0.260;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.286,0.262;0.256,0.254;0.244,0.253;0.139,0.234;0.139,0.234;0.018,0.234;-0.114,0.234;-0.139,0.234;-0.225,0.234;-0.284,0.234;-0.348,0.236;-0.348,0.236;-0.348,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.351,0.236;-0.337,0.242;-0.248,0.255;-0.190,0.258;-0.092,0.258;-0.076,0.258;-0.006,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.003,0.258;-0.055,0.250;-0.068,0.250;-0.197,0.250;-0.269,0.250;-0.322,0.250;-0.322,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250;-0.327,0.250",left,04,23,M,
,,loss,no_pressure,37.5,0.7433665999997174,False,0.3410955201203233,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.045,-0.314;-0.079,-0.264;-0.158,-0.147;-0.189,-0.065;-0.183,-0.033;-0.158,-0.010;-0.061,0.038;-0.040,0.045;0.135,0.089;0.160,0.096;0.317,0.139;0.331,0.143;0.386,0.172;0.393,0.179;0.397,0.185;0.402,0.189;0.414,0.200;0.427,0.214;0.449,0.243;0.476,0.279;0.476,0.279;0.499,0.310;0.527,0.334;0.527,0.334;0.528,0.338;0.528,0.338;0.528,0.338;0.528,0.338",right,04,23,M,
,,loss,no_pressure,50.0,0.8499570000003587,False,0.272979778375083,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.018,-0.281;0.018,-0.178;0.013,-0.050;-0.033,0.134;-0.098,0.321;-0.236,0.500;-0.236,0.500;-0.248,0.500;-0.252,0.500;-0.252,0.500;-0.252,0.500;-0.252,0.500;-0.252,0.500;-0.252,0.500;-0.323,0.487;-0.336,0.478;-0.383,0.449;-0.430,0.417;-0.443,0.406;-0.445,0.392;-0.442,0.378;-0.442,0.378;-0.390,0.283;-0.381,0.268;-0.381,0.268;-0.370,0.258;-0.369,0.258;-0.369,0.258;-0.369,0.258;-0.369,0.258;-0.369,0.258",left,04,23,M,
,,loss,no_pressure,62.5,1.4990342000000965,False,0.5984675943929307,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.030,-0.323;0.087,-0.107;0.087,-0.107;0.158,0.081;0.198,0.146;0.278,0.272;0.300,0.307;0.300,0.307;0.300,0.307;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.307,0.325;0.222,0.301;0.222,0.301;-0.080,0.279;-0.257,0.281;-0.272,0.285;-0.295,0.290;-0.295,0.290;-0.266,0.312;-0.263,0.312;-0.263,0.312;-0.263,0.312;-0.263,0.312;-0.263,0.312;-0.263,0.312;-0.263,0.312;-0.263,0.312;-0.243,0.312;-0.233,0.312;-0.166,0.298;0.047,0.289;0.167,0.289;0.289,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289;0.367,0.289",right,04,23,M,
,,loss,no_pressure,75.0,2.1256132999997135,False,0.6036357083341479,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.009,-0.377;0.007,-0.332;-0.037,-0.113;-0.050,-0.062;-0.050,-0.062;-0.087,0.362;-0.087,0.362;0.037,0.500;0.100,0.500;0.221,0.500;0.221,0.500;0.238,0.500;0.249,0.500;0.260,0.497;0.284,0.465;0.461,0.285;0.570,0.208;0.606,0.182;0.799,0.025;0.799,-0.028;0.799,-0.039;0.770,-0.085;0.736,-0.103;0.649,-0.108;0.441,-0.048;0.078,0.120;-0.113,0.207;-0.177,0.236;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.239,0.264;-0.242,0.267;-0.242,0.275;-0.242,0.275;-0.246,0.282;-0.248,0.286;-0.248,0.290;-0.248,0.294;-0.248,0.297;-0.248,0.297;-0.248,0.297;-0.248,0.297;-0.248,0.297;-0.251,0.300;-0.260,0.308;-0.261,0.310;-0.265,0.317;-0.274,0.328;-0.274,0.328;-0.277,0.333;-0.277,0.333;-0.277,0.333;-0.277,0.333;-0.277,0.333;-0.277,0.333;-0.277,0.333;-0.247,0.335;-0.186,0.335;0.253,0.347;0.298,0.347;0.567,0.342;0.584,0.338;0.622,0.328;0.622,0.328;0.622,0.328;0.622,0.328;0.622,0.328;0.622,0.328;0.622,0.328;0.588,0.313;0.551,0.303;0.536,0.301;0.477,0.287;0.101,0.286;0.084,0.286;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.041,0.284;0.047,0.277;0.050,0.274;0.104,0.258;0.104,0.258;0.154,0.250;0.217,0.247;0.223,0.247;0.242,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247;0.245,0.247",right,04,23,M,
,,loss,no_pressure,87.5,0.8405411000003369,False,0.5364502270983267,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.021,-0.333;-0.030,-0.313;-0.114,-0.193;-0.147,-0.152;-0.198,-0.088;-0.225,-0.048;-0.288,0.040;-0.294,0.050;-0.304,0.065;-0.317,0.084;-0.317,0.084;-0.322,0.098;-0.322,0.098;-0.322,0.104;-0.321,0.117;-0.321,0.117;-0.318,0.124;-0.310,0.135;-0.299,0.152;-0.299,0.152;-0.283,0.172;-0.261,0.189;-0.258,0.193;-0.239,0.202;-0.153,0.228;-0.090,0.242;-0.090,0.242;0.086,0.252;0.177,0.252;0.393,0.252;0.542,0.252;0.576,0.249;0.576,0.249;0.576,0.249;0.576,0.249;0.576,0.249",right,04,23,M,
,,loss,no_pressure,99,1.176783599999908,True,0.4693681081413297,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.015,-0.390;-0.029,-0.343;-0.058,-0.246;-0.076,-0.193;-0.092,-0.132;-0.094,-0.077;-0.094,-0.052;-0.098,0.001;-0.098,0.001;-0.107,0.034;-0.107,0.037;-0.126,0.068;-0.142,0.092;-0.163,0.123;-0.181,0.147;-0.181,0.147;-0.185,0.152;-0.191,0.158;-0.196,0.165;-0.202,0.172;-0.206,0.181;-0.206,0.181;-0.206,0.186;-0.196,0.197;-0.179,0.206;-0.158,0.218;-0.134,0.226;-0.082,0.236;0.077,0.242;0.099,0.242;0.193,0.242;0.260,0.242;0.424,0.254;0.424,0.254;0.443,0.260;0.443,0.260;0.443,0.260;0.443,0.260;0.443,0.260;0.443,0.260",right,04,23,M,
,,loss,no_pressure,92.75,1.8734337000000778,False,0.644670533027411,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.072,-0.393;-0.143,-0.374;-0.168,-0.367;-0.237,-0.342;-0.290,-0.325;-0.290,-0.325;-0.290,-0.325;-0.290,-0.325;-0.290,-0.325;-0.290,-0.325;-0.290,-0.325;-0.290,-0.325;-0.292,-0.323;-0.292,-0.323;-0.287,-0.318;-0.283,-0.318;-0.274,-0.316;-0.184,-0.279;-0.052,-0.242;0.306,-0.261;0.418,-0.294;0.799,-0.499;0.799,-0.499;0.799,-0.499;0.799,-0.499;0.799,-0.499;0.799,-0.499;0.799,-0.499;0.799,-0.499;0.730,-0.499;0.730,-0.499;0.663,-0.499;0.484,-0.499;-0.149,-0.499;-0.392,-0.496;-0.800,-0.253;-0.800,-0.195;-0.800,0.122;-0.800,0.429;-0.800,0.500;-0.800,0.500;-0.800,0.500;-0.750,0.500;-0.605,0.500;-0.605,0.500;-0.478,0.500;-0.460,0.500;-0.381,0.500;-0.307,0.500;-0.299,0.500;-0.264,0.477;-0.258,0.466;-0.253,0.448;-0.252,0.446;-0.252,0.446;-0.252,0.446;-0.252,0.446;-0.252,0.446;-0.252,0.446;-0.269,0.416;-0.269,0.416;-0.302,0.376;-0.338,0.316;-0.367,0.255;-0.368,0.242;-0.368,0.239;-0.368,0.239;-0.368,0.239;-0.368,0.239;-0.368,0.239;-0.368,0.239",left,04,23,M,
,,loss,no_pressure,95.875,1.6034973000000718,True,0.5530915539890454,"0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;0.000,-0.400;-0.041,-0.218;-0.049,-0.187;-0.056,-0.169;-0.107,-0.080;-0.152,-0.005;-0.171,0.022;-0.182,0.038;-0.186,0.052;-0.194,0.079;-0.197,0.091;-0.203,0.103;-0.210,0.115;-0.213,0.120;-0.213,0.122;-0.217,0.125;-0.215,0.131;-0.212,0.135;-0.211,0.138;-0.211,0.138;-0.210,0.142;-0.209,0.144;-0.209,0.144;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.207,0.147;-0.214,0.184;-0.233,0.214;-0.241,0.224;-0.252,0.240;-0.252,0.242;-0.258,0.252;-0.258,0.252;-0.258,0.254;-0.254,0.270;-0.252,0.273;-0.213,0.298;-0.197,0.310;-0.097,0.349;-0.077,0.353;0.139,0.376;0.184,0.380;0.198,0.380;0.198,0.380;0.253,0.386;0.258,0.388;0.258,0.388;0.262,0.388;0.269,0.390;0.271,0.390;0.271,0.390;0.272,0.390;0.272,0.390;0.272,0.390;0.272,0.390",right,04,23,M,
